text,category,priority
Park occupied by illegal vendors in Colony B,Parks,Medium
Night watchman absent from Town Area,Safety,Critical
Speed breaker damaged on Market Street highway,Road,High
CCTV cameras not working on Market Street,Transport,High
Water tank overflow flooding Old Delhi Road,Water,Critical
School roof leaking during rain in Mohalla 7,Education,High
Construction dust affecting Nagar Panchayat residents,Construction,High
Illegal construction blocking NH-8 in Nagar Panchayat,Construction,High
No electricity for 5 days in Village Kalan,Electricity,Low
No street lights on dark MG Road lane,Electricity,High
Speed breaker damaged on NH-8 highway,Road,Low
Public toilet not maintained in Village Kalan,Sanitation,Medium
No maintenance of Town Area garden since 21 days,Parks,Medium
Building violating height norms in Block 3,Construction,Low
Hospital building in bad condition in Block 3,Healthcare,High
No boundary wall in Sector 5 school,Education,Low
Auto drivers overcharging passengers in Village Kalan,Transport,Low
Bridge has cracks need urgent repair on Hospital Road,Road,Critical
Building violating height norms in Colony B,Construction,High
School roof leaking during rain in Village Kalan,Education,Low
Construction debris on footpath on Market Street,Construction,Medium
School roof leaking during rain in Mohalla 7,Education,Medium
Dead animals not removed from Temple Road,Sanitation,High
Gambling den operating in Village Kalan,Safety,Medium
Night watchman absent from Town Area,Safety,Medium
Untrained teachers in Village Kalan primary school,Education,High
Construction dust affecting Zone 4 residents,Construction,Medium
Construction affecting water supply in Block 3,Construction,Low
Night watchman absent from Ward 12,Safety,Critical
Untrained teachers in Nagar Panchayat primary school,Education,Medium
Security cameras not working in Block 3 market,Safety,Medium
No power supply during festival in Colony B,Electricity,Medium
Construction noise during night hours in Town Area,Construction,Low
Ambulance service not responding in Mohalla 7,Healthcare,Medium
No dustbin provided in Zone 4 market,Sanitation,Low
No street lights on dark Hospital Road lane,Electricity,High
Overloaded vehicles causing accidents on Hospital Road,Transport,Low
Street harassment near Mohalla 7 school daily,Safety,Critical
Garden lights not working in Mohalla 7 park,Parks,Medium
Grass not trimmed in Colony B public garden,Parks,Medium
School building in bad condition in Sector 5,Education,Low
Illegal construction blocking School Lane in Colony B,Construction,Low
Bus service not available to Colony B village,Transport,Medium
Ambulance service not responding in Town Area,Healthcare,Critical
Encroachment in Nagar Panchayat public park area,Parks,Medium
Street lamp broken near bus stop on School Lane,Electricity,High
Public toilet not maintained in Nagar Panchayat,Sanitation,High
Water supply cut off for 30 days in Ward 12,Water,High
Illegal weapons spotted near Ward 12,Safety,Critical
Overloaded vehicles causing accidents on Station Road,Transport,Low
No last mile connectivity in Mohalla 7,Transport,Medium
Electric poles damaged after storm near Mohalla 7,Electricity,Medium
No water supply for past 21 days in Town Area,Water,High
No electricity for 7 days in Mohalla 7,Electricity,Medium
No drinking water in Colony B school,Education,High
Road cave-in near Block 3 drainage line,Road,Medium
Medical equipment not working in Puram Extension hospital,Healthcare,Critical
Lights flickering in Ward 12 residential area,Electricity,Medium
Waste collection vehicle not coming to Block 3,Sanitation,High
No water pressure in building in Puram Extension,Water,Critical
Medical equipment not working in Ward 12 hospital,Healthcare,High
Illegal electrical connections spotted in Zone 4,Electricity,Low
Expired medicines given at Mohalla 7 clinic,Healthcare,High
Garbage not collected for 2 days in Puram Extension,Sanitation,Medium
No parking facility near Puram Extension market,Transport,High
Road cave-in near Ward 12 drainage line,Road,High
Police not patrolling Ward 12 area since 10 days,Safety,Critical
Construction dust affecting Nagar Panchayat residents,Construction,High
Rowdy elements troubling residents of Village Kalan,Safety,Critical
Park walls have graffiti in Town Area,Parks,Low
No water pressure in building in Block 3,Water,Critical
No last mile connectivity in Block 3,Transport,Low
Grass not trimmed in Mohalla 7 public garden,Parks,Low
Illegal weapons spotted near Ward 12,Safety,Critical
Drug dealing happening in Village Kalan park,Safety,High
Construction affecting water supply in Puram Extension,Construction,Low
Power outage in Village Kalan colony since morning,Electricity,High
Health worker absent from Zone 4 since 30 days,Healthcare,High
Traffic signals not working on Hospital Road,Transport,Low
Anganwadi center closed for 10 days in Mohalla 7,Education,Low
No dustbin provided in Nagar Panchayat market,Sanitation,Low
Water tank overflow flooding NH-8,Water,High
Government hospital lacks medicines in Nagar Panchayat,Healthcare,High
Hospital building in bad condition in Block 3,Healthcare,High
No doctors available at PHC in Mohalla 7 for 3 days,Healthcare,Medium
Park gate broken in Sector 5,Parks,Low
Untrained teachers in Mohalla 7 primary school,Education,High
Sewage overflow on Hospital Road street near Puram Extension,Sanitation,Medium
Water tank overflow flooding Old Delhi Road,Water,Critical
Untrained teachers in Puram Extension primary school,Education,High
Park walls have graffiti in Colony B,Parks,Low
Divider damaged on Temple Road main street,Road,High
Bins not emptied since last week in Nagar Panchayat,Sanitation,Critical
No water pressure in building in Block 3,Water,Critical
Suspicious activity near ATM in Town Area,Safety,Critical
Park fountains not working in Block 3,Parks,Medium
Medical equipment not working in Colony B hospital,Healthcare,Critical
Bus service not available to Puram Extension village,Transport,Low
Vaccination camp not organized in Town Area,Healthcare,Medium
No footpath for pedestrians on Old Delhi Road,Transport,Medium
Illegal construction blocking School Lane in Village Kalan,Construction,Medium
Hospital building in bad condition in Sector 5,Healthcare,High
Construction noise during night hours in Sector 5,Construction,Medium
Theft incidents increasing in Block 3 locality,Safety,Critical
Hospital ward overcrowded in Block 3,Healthcare,High
Electric box sparking near Ward 12 school,Electricity,Low
Anganwadi center closed for 21 days in Mohalla 7,Education,High
Footpath broken and dangerous for walkers near Town Area,Road,High
Unauthorized commercial construction in Mohalla 7,Construction,Low
Electric box sparking near Ward 12 school,Electricity,Medium
No electricity for 7 days in Mohalla 7,Electricity,Medium
Dirty brown water coming from tap in Nagar Panchayat,Water,Medium
Blood bank not available in Ward 12 hospital,Healthcare,Critical
Unauthorized commercial construction in Zone 4,Construction,High
Government hospital lacks medicines in Zone 4,Healthcare,Medium
Water supply disrupted since 7 days,Water,Critical
Construction dust affecting Nagar Panchayat residents,Construction,Medium
Vaccination camp not organized in Ward 12,Healthcare,Critical
No boundary wall in Block 3 school,Education,High
Library books damaged in Puram Extension school,Education,High
No dustbin provided in Mohalla 7 market,Sanitation,High
Electricity bill error for Block 3 residents,Electricity,High
No power supply during festival in Nagar Panchayat,Electricity,Medium
Untrained teachers in Ward 12 primary school,Education,High
Electric poles damaged after storm near Zone 4,Electricity,High
Broken road divider on NH-8 is dangerous,Road,Medium
Construction work damaging water pipeline in Block 3,Construction,High
Contaminated water supply causing illness in Sector 5,Water,Medium
Stray dogs near garbage dump in Village Kalan,Sanitation,Critical
Construction noise during night hours in Colony B,Construction,Medium
Potholes causing vehicle damage on Station Road,Road,High
Building violating height norms in Colony B,Construction,Low
Teachers absent regularly from Town Area school,Education,Medium
Power outage in Zone 4 colony since morning,Electricity,Medium
Stray dogs near garbage dump in Nagar Panchayat,Sanitation,High
Large pothole on MG Road causing accidents near Ward 12,Road,Low
Park occupied by illegal vendors in Ward 12,Parks,Low
Mid-day meal not provided in Village Kalan school,Education,High
Water pipeline broken near Puram Extension school,Water,Medium
No drinking water in Village Kalan park,Parks,Low
Mid-day meal not provided in Block 3 school,Education,High
No street lights on dark Hospital Road lane,Electricity,High
Expired medicines given at Colony B clinic,Healthcare,High
Stray dogs near garbage dump in Ward 12,Sanitation,High
No boundary wall in Town Area school,Education,Medium
Overloaded vehicles causing accidents on Market Street,Transport,Low
Power cut every day in Ward 12 for 5 hours,Electricity,High
Electric poles damaged after storm near Village Kalan,Electricity,Low
No ASHA worker in Town Area area since 21 days,Healthcare,Medium
Grass not trimmed in Colony B public garden,Parks,Medium
Encroachment in Block 3 public park area,Parks,Low
Dirty drain causing disease spread in Ward 12,Sanitation,Medium
High voltage wire hanging low on Main Bazaar,Electricity,High
Unsafe scaffolding near Old Delhi Road,Construction,Medium
Stray dogs near garbage dump in Village Kalan,Sanitation,Medium
Computer lab non-functional in Colony B school,Education,High
Illegal electrical connections spotted in Nagar Panchayat,Electricity,Low
Electricity bill error for Town Area residents,Electricity,Medium
Speed breaker damaged on Market Street highway,Road,High
High voltage wire hanging low on Temple Road,Electricity,Medium
Street lights not working on Market Street since 5 days,Electricity,Medium
No street lights on dark Station Road lane,Electricity,Medium
Water meter showing wrong reading in Nagar Panchayat,Water,Medium
Demolition without safety measures in Sector 5,Construction,High
No dustbin provided in Puram Extension market,Sanitation,High
No ambulance available in Colony B,Healthcare,High
Illegal water connection in Mohalla 7,Water,Critical
No lighting in dark lanes near Colony B,Safety,Critical
Water pipe burst on Main Bazaar flooding the street,Water,High
Medical equipment not working in Colony B hospital,Healthcare,High
CCTV cameras not working on NH-8,Transport,Medium
Library books damaged in Puram Extension school,Education,Medium
Open drain overflowing near Block 3 homes,Sanitation,High
Dirty drain causing disease spread in Town Area,Sanitation,High
No last mile connectivity in Village Kalan,Transport,Low
No boundary wall in Village Kalan school,Education,Low
Dirty conditions in Town Area government hospital,Healthcare,Critical
Water pipeline broken near Village Kalan school,Water,High
Unauthorized extension built in Zone 4,Construction,High
Road construction debris not cleared near Town Area,Road,Medium
Road encroachment by shops on Station Road,Road,Medium
Blood bank not available in Village Kalan hospital,Healthcare,Critical
No toilets in Block 3 government school,Education,Medium
Road dividers removed illegally on Station Road,Transport,Low
Library books damaged in Mohalla 7 school,Education,High
Rubble dumped on Temple Road by contractor,Construction,Medium
Illegal weapons spotted near Ward 12,Safety,High
Speed breaker damaged on MG Road highway,Road,Medium
No street lights on dark Station Road lane,Electricity,Medium
Public toilet not maintained in Puram Extension,Sanitation,Medium
Construction noise during night hours in Block 3,Construction,Medium
Hospital ward overcrowded in Mohalla 7,Healthcare,Critical
Drug dealing happening in Town Area park,Safety,High
Construction blocking entrance to Nagar Panchayat school,Construction,Medium
Untrained teachers in Ward 12 primary school,Education,Medium
CCTV cameras vandalized near Mohalla 7,Safety,Critical
Construction work damaging water pipeline in Sector 5,Construction,Low
Garbage dump near Town Area residential area,Sanitation,High
Illegal water connection in Puram Extension,Water,Critical
Untrained teachers in Block 3 primary school,Education,Medium
Dirty conditions in Mohalla 7 government hospital,Healthcare,Critical
Library books damaged in Mohalla 7 school,Education,Medium
Power cut every day in Ward 12 for 10 hours,Electricity,Low
No ASHA worker in Puram Extension area since 14 days,Healthcare,Critical
Hospital ward overcrowded in Ward 12,Healthcare,Critical
Waste collection vehicle not coming to Village Kalan,Sanitation,High
Park benches broken and unusable in Puram Extension,Parks,Low
Power cut every day in Sector 5 for 3 hours,Electricity,Low
Construction dust affecting Puram Extension residents,Construction,Medium
Open defecation area near Block 3 school,Sanitation,Critical
Road encroachment by shops on Hospital Road,Road,High
Grass not trimmed in Puram Extension public garden,Parks,Low
Bins not emptied since last week in Ward 12,Sanitation,Critical
Garbage burning near Town Area school,Sanitation,Medium
Children playground dirty and unsafe in Sector 5,Parks,Medium
Power outage in Zone 4 colony since morning,Electricity,High
No electricity for 30 days in Colony B,Electricity,Low
High voltage wire hanging low on Temple Road,Electricity,High
Ambulance service not responding in Puram Extension,Healthcare,High
Water supply disrupted since 30 days,Water,Low
Water pipe burst on Market Street flooding the street,Water,Medium
High voltage wire hanging low on Ring Road,Electricity,Medium
No water supply for past 10 days in Zone 4,Water,High
Road cave-in near Ward 12 drainage line,Road,Medium
Park fountains not working in Town Area,Parks,Low
Underground water leakage on Market Street,Water,Low
School roof leaking during rain in Village Kalan,Education,High
Police not patrolling Sector 5 area since 7 days,Safety,High
Construction affecting water supply in Nagar Panchayat,Construction,Low
Divider damaged on Main Bazaar main street,Road,High
Medical equipment not working in Nagar Panchayat hospital,Healthcare,Critical
Street harassment near Nagar Panchayat school daily,Safety,Critical
Grass not trimmed in Mohalla 7 public garden,Parks,Medium
Bins not emptied since last week in Colony B,Sanitation,Low
Road cave-in near Village Kalan drainage line,Road,Critical
Illegal parking blocking Ring Road in Colony B,Transport,Low
Lights flickering in Zone 4 residential area,Electricity,High
Waste collection vehicle not coming to Colony B,Sanitation,Medium
Street lights not working on Old Delhi Road since 10 days,Electricity,High
Overloaded vehicles causing accidents on Temple Road,Transport,High
Park benches broken and unusable in Nagar Panchayat,Parks,Low
Ambulance service not responding in Village Kalan,Healthcare,High
Power outage in Colony B colony since morning,Electricity,Low
Open drain overflowing near Town Area homes,Sanitation,High
No drinking water in Town Area park,Parks,Low
Large pothole on MG Road causing accidents near Mohalla 7,Road,Critical
Street harassment near Village Kalan school daily,Safety,Critical
Chain snatching incidents in Nagar Panchayat area,Safety,Medium
Water tank overflow flooding Ring Road,Water,High
Dirty conditions in Colony B government hospital,Healthcare,Critical
Vaccination camp not organized in Sector 5,Healthcare,Critical
Women safety issues at Zone 4 bus stop,Safety,Critical
Police not patrolling Ward 12 area since 10 days,Safety,High
Open drain overflowing near Sector 5 homes,Sanitation,Low
CCTV cameras not working on NH-8,Transport,Low
Construction blocking entrance to Mohalla 7 school,Construction,Medium
Unauthorized extension built in Puram Extension,Construction,High
Police not patrolling Sector 5 area since 5 days,Safety,Critical
Government hospital lacks medicines in Block 3,Healthcare,High
No water pressure in building in Puram Extension,Water,Critical
Overloaded vehicles causing accidents on School Lane,Transport,Low
Ambulance service not responding in Zone 4,Healthcare,High
Rubble dumped on School Lane by contractor,Construction,Low
Bridge has cracks need urgent repair on Station Road,Road,High
Vaccination camp not organized in Puram Extension,Healthcare,High
Footpath broken and dangerous for walkers near Puram Extension,Road,Medium
Construction debris on footpath on Market Street,Construction,Medium
Park benches broken and unusable in Nagar Panchayat,Parks,Medium
Gambling den operating in Zone 4,Safety,Medium
Untrained teachers in Sector 5 primary school,Education,Medium
Construction debris on footpath on Temple Road,Construction,High
Power outage in Mohalla 7 colony since morning,Electricity,Low
Teachers absent regularly from Zone 4 school,Education,Low
Construction debris on footpath on Main Bazaar,Construction,Low
Electric poles damaged after storm near Puram Extension,Electricity,High
Trees fallen in Town Area park after storm,Parks,Medium
Stray dogs near garbage dump in Town Area,Sanitation,Medium
Government hospital lacks medicines in Mohalla 7,Healthcare,Critical
Illegal liquor shop operating openly in Village Kalan,Safety,Critical
Gambling den operating in Block 3,Safety,Medium
Lights flickering in Nagar Panchayat residential area,Electricity,Low
Scholarship money not distributed in Village Kalan,Education,High
School missing benches for students in Mohalla 7,Education,Low
School has no blackboards in Block 3,Education,High
Medical equipment not working in Village Kalan hospital,Healthcare,Critical
Construction affecting water supply in Town Area,Construction,Low
School has no blackboards in Block 3,Education,Medium
Illegal electrical connections spotted in Sector 5,Electricity,Low
Park fountains not working in Sector 5,Parks,Low
Construction work damaging water pipeline in Ward 12,Construction,High
Garbage dump near Nagar Panchayat residential area,Sanitation,Critical
Rubble dumped on Old Delhi Road by contractor,Construction,Medium
Lights flickering in Puram Extension residential area,Electricity,Low
Garbage not collected for 5 days in Sector 5,Sanitation,High
No safety net during construction in Town Area,Construction,Medium
Park benches broken and unusable in Block 3,Parks,Low
No lighting in dark lanes near Sector 5,Safety,Critical
No lighting in dark lanes near Puram Extension,Safety,Medium
No last mile connectivity in Village Kalan,Transport,Low
Blood bank not available in Sector 5 hospital,Healthcare,Critical
Road dividers removed illegally on Main Bazaar,Transport,Low
Scholarship money not distributed in Nagar Panchayat,Education,Low
Building under construction without permit in Town Area,Construction,Low
Park benches broken and unusable in Colony B,Parks,Medium
No drinking water in Mohalla 7 school,Education,Medium
Construction noise during night hours in Nagar Panchayat,Construction,Low
No boundary wall in Village Kalan school,Education,Medium
No sports facilities in Sector 5 school,Education,Low
Rowdy elements troubling residents of Village Kalan,Safety,Critical
Bus routes reduced suddenly in Ward 12,Transport,Medium
Leaking water pipe wasting water on Hospital Road,Water,Low
Footpath broken and dangerous for walkers near Ward 12,Road,Medium
Long queues at Zone 4 government dispensary,Healthcare,High
Illegal construction blocking Main Bazaar in Puram Extension,Construction,Low
No parking facility near Ward 12 market,Transport,Medium
Broken road divider on Station Road is dangerous,Road,Critical
No doctors available at PHC in Colony B for 14 days,Healthcare,Critical
Theft incidents increasing in Mohalla 7 locality,Safety,Medium
Auto drivers overcharging passengers in Colony B,Transport,Medium
No water supply for past 14 days in Puram Extension,Water,High
Street lamp broken near bus stop on Station Road,Electricity,High
No boundary wall in Mohalla 7 school,Education,Medium
Water pipe burst on Market Street flooding the street,Water,Medium
Street harassment near Village Kalan school daily,Safety,High
Untrained teachers in Zone 4 primary school,Education,High
Traffic signals not working on Old Delhi Road,Transport,Low
Garbage burning near Village Kalan school,Sanitation,Medium
Transformer blew up near Puram Extension market,Electricity,High
No last mile connectivity in Zone 4,Transport,Low
Bus routes reduced suddenly in Colony B,Transport,Low
No drinking water in Village Kalan school,Education,Medium
Vaccination camp not organized in Village Kalan,Healthcare,Critical
Children playground dirty and unsafe in Mohalla 7,Parks,Medium
Ambulance service not responding in Colony B,Healthcare,Medium
No sports facilities in Zone 4 school,Education,Medium
Construction work damaging water pipeline in Sector 5,Construction,Medium
Dirty drain causing disease spread in Nagar Panchayat,Sanitation,Medium
Women safety issues at Mohalla 7 bus stop,Safety,Critical
Broken road divider on Market Street is dangerous,Road,Critical
Trees fallen in Colony B park after storm,Parks,Low
Large pothole on Station Road causing accidents near Block 3,Road,Medium
Park fountains not working in Puram Extension,Parks,Low
Unauthorized extension built in Village Kalan,Construction,Medium
Broken road divider on Market Street is dangerous,Road,Critical
High voltage wire hanging low on MG Road,Electricity,Low
No boundary wall in Block 3 school,Education,Medium
No safety net during construction in Puram Extension,Construction,Low
Road is completely broken near Village Kalan since 14 days,Road,Low
No boundary wall in Village Kalan school,Education,Medium
No bus shelter at Nagar Panchayat bus stop,Transport,Medium
No ambulance available in Village Kalan,Healthcare,Critical
Blood bank not available in Village Kalan hospital,Healthcare,High
Rubble dumped on School Lane by contractor,Construction,Low
CCTV cameras vandalized near Village Kalan,Safety,Critical
Auto drivers overcharging passengers in Block 3,Transport,Low
Sewage mixing with drinking water in Puram Extension,Water,Medium
Park benches broken and unusable in Colony B,Parks,Low
Road construction debris not cleared near Zone 4,Road,High
Illegal electrical connections spotted in Ward 12,Electricity,Medium
No drinking water in Zone 4 park,Parks,Low
Water supply disrupted since 21 days,Water,Critical
Bins not emptied since last week in Village Kalan,Sanitation,High
Construction work damaging water pipeline in Puram Extension,Construction,High
No last mile connectivity in Mohalla 7,Transport,Medium
Park fountains not working in Block 3,Parks,Low
Bins not emptied since last week in Ward 12,Sanitation,Low
No ambulance available in Block 3,Healthcare,Critical
Demolition without safety measures in Colony B,Construction,High
Stray dogs near garbage dump in Puram Extension,Sanitation,Critical
Building under construction without permit in Puram Extension,Construction,High
Street lamp broken near bus stop on Station Road,Electricity,High
Street lights not working on Temple Road since 14 days,Electricity,Medium
Park walls have graffiti in Town Area,Parks,Medium
Unauthorized commercial construction in Puram Extension,Construction,Low
Children playground dirty and unsafe in Sector 5,Parks,Low
Water tanker not arriving on schedule in Zone 4,Water,Low
Garbage dump near Nagar Panchayat residential area,Sanitation,Low
Electricity bill error for Zone 4 residents,Electricity,High
No safety net during construction in Mohalla 7,Construction,Medium
Hospital building in bad condition in Block 3,Healthcare,High
Sewage mixing with drinking water in Zone 4,Water,High
Overloaded vehicles causing accidents on NH-8,Transport,Low
Water tanker not arriving on schedule in Ward 12,Water,High
No power supply during festival in Block 3,Electricity,Medium
Unauthorized commercial construction in Sector 5,Construction,High
Health worker absent from Nagar Panchayat since 30 days,Healthcare,Critical
No ASHA worker in Mohalla 7 area since 3 days,Healthcare,High
Underground water leakage on Hospital Road,Water,High
Night watchman absent from Nagar Panchayat,Safety,High
Street lights not working on Main Bazaar since 10 days,Electricity,High
Footover bridge broken near Nagar Panchayat station,Transport,Medium
Expired medicines given at Nagar Panchayat clinic,Healthcare,High
No boundary wall in Block 3 school,Education,Medium
Water meter showing wrong reading in Ward 12,Water,High
Unsafe scaffolding near MG Road,Construction,Medium
Water supply cut off for 21 days in Sector 5,Water,Critical
Open defecation area near Block 3 school,Sanitation,Critical
Road dividers removed illegally on Market Street,Transport,Low
Illegal weapons spotted near Town Area,Safety,Medium
Blood bank not available in Ward 12 hospital,Healthcare,Critical
No lighting in dark lanes near Village Kalan,Safety,High
Illegal parking blocking NH-8 in Mohalla 7,Transport,Low
Footover bridge broken near Block 3 station,Transport,High
Garden lights not working in Colony B park,Parks,Low
Long queues at Sector 5 government dispensary,Healthcare,High
Bus not stopping at Zone 4 stop,Transport,Low
Playground equipment damaged in Ward 12 park,Parks,Low
CCTV cameras vandalized near Village Kalan,Safety,High
Water pipe burst on Hospital Road flooding the street,Water,High
Gambling den operating in Colony B,Safety,High
Construction blocking entrance to Colony B school,Construction,High
Illegal electrical connections spotted in Sector 5,Electricity,Medium
Electric box sparking near Town Area school,Electricity,Low
Unauthorized extension built in Nagar Panchayat,Construction,High
Dead animals not removed from Hospital Road,Sanitation,High
Anganwadi center closed for 30 days in Town Area,Education,Medium
Lights flickering in Colony B residential area,Electricity,High
Bins not emptied since last week in Zone 4,Sanitation,Medium
Park benches broken and unusable in Nagar Panchayat,Parks,Low
Street harassment near Town Area school daily,Safety,Medium
Stray dogs near garbage dump in Colony B,Sanitation,Medium
Illegal water connection in Colony B,Water,High
School building in bad condition in Ward 12,Education,High
Road cave-in near Colony B drainage line,Road,Medium
Encroachment in Town Area public park area,Parks,Low
Long queues at Sector 5 government dispensary,Healthcare,Critical
Traffic signals not working on Old Delhi Road,Transport,Low
Road waterlogged after rain near Nagar Panchayat,Road,Medium
No parking facility near Colony B market,Transport,Medium
Security cameras not working in Ward 12 market,Safety,Medium
Expired medicines given at Ward 12 clinic,Healthcare,Critical
Traffic signals not working on Old Delhi Road,Transport,Medium
No specialist doctor in Mohalla 7 PHC,Healthcare,High
Footover bridge broken near Block 3 station,Transport,High
Blood bank not available in Mohalla 7 hospital,Healthcare,High
Bus routes reduced suddenly in Ward 12,Transport,High
Building under construction without permit in Block 3,Construction,Medium
Park gate broken in Mohalla 7,Parks,Medium
Blood bank not available in Village Kalan hospital,Healthcare,Critical
Night watchman absent from Block 3,Safety,Medium
No safety net during construction in Village Kalan,Construction,High
Unauthorized extension built in Mohalla 7,Construction,High
No lighting in dark lanes near Zone 4,Safety,High
School missing benches for students in Block 3,Education,High
Construction noise during night hours in Colony B,Construction,High
Open drain overflowing near Puram Extension homes,Sanitation,Critical
No water pressure in building in Town Area,Water,Critical
Playground equipment damaged in Sector 5 park,Parks,Medium
Security cameras not working in Block 3 market,Safety,Medium
No drinking water in Mohalla 7 park,Parks,Medium
Suspicious activity near ATM in Block 3,Safety,Critical
Illegal liquor shop operating openly in Mohalla 7,Safety,High
Park occupied by illegal vendors in Colony B,Parks,Low
Illegal water connection in Village Kalan,Water,Medium
No ASHA worker in Mohalla 7 area since 7 days,Healthcare,Critical
Building under construction without permit in Colony B,Construction,High
Ambulance service not responding in Village Kalan,Healthcare,High
No drinking water in Village Kalan school,Education,High
Rowdy elements troubling residents of Nagar Panchayat,Safety,High
Security cameras not working in Village Kalan market,Safety,Medium
Water meter showing wrong reading in Village Kalan,Water,Medium
Construction work damaging water pipeline in Puram Extension,Construction,Medium
Footover bridge broken near Block 3 station,Transport,Low
No specialist doctor in Town Area PHC,Healthcare,Critical
Hospital ward overcrowded in Village Kalan,Healthcare,High
Computer lab non-functional in Puram Extension school,Education,Low
Night watchman absent from Sector 5,Safety,Critical
Long queues at Town Area government dispensary,Healthcare,Critical
Building under construction without permit in Block 3,Construction,High
Overloaded vehicles causing accidents on Station Road,Transport,Low
Auto drivers overcharging passengers in Zone 4,Transport,Medium
Drug dealing happening in Zone 4 park,Safety,Critical
Auto drivers overcharging passengers in Nagar Panchayat,Transport,High
No street lights on dark Hospital Road lane,Electricity,Medium
Transformer blew up near Zone 4 market,Electricity,Medium
Demolition without safety measures in Zone 4,Construction,Low
Road waterlogged after rain near Block 3,Road,High
Dirty conditions in Puram Extension government hospital,Healthcare,Critical
Waste collection vehicle not coming to Sector 5,Sanitation,Critical
Construction affecting water supply in Puram Extension,Construction,High
Mid-day meal not provided in Colony B school,Education,High
Construction noise during night hours in Nagar Panchayat,Construction,Low
No electricity for 3 days in Puram Extension,Electricity,High
Bus not stopping at Mohalla 7 stop,Transport,Medium
Road encroachment by shops on School Lane,Road,High
Police not patrolling Village Kalan area since 21 days,Safety,Critical
Power cut every day in Town Area for 30 hours,Electricity,Low
Auto drivers overcharging passengers in Colony B,Transport,Medium
Electric meter not working properly in Block 3,Electricity,Low
Construction blocking entrance to Block 3 school,Construction,High
Street harassment near Nagar Panchayat school daily,Safety,Medium
No safety net during construction in Sector 5,Construction,Low
Anganwadi center closed for 5 days in Sector 5,Education,High
School roof leaking during rain in Zone 4,Education,Medium
Garden lights not working in Village Kalan park,Parks,Low
Encroachment in Nagar Panchayat public park area,Parks,Medium
Library books damaged in Colony B school,Education,Low
Street flooding on Hospital Road during monsoon,Road,Low
Water meter showing wrong reading in Town Area,Water,High
Women safety issues at Town Area bus stop,Safety,Medium
Water supply cut off for 10 days in Nagar Panchayat,Water,Low
Auto drivers overcharging passengers in Block 3,Transport,Medium
Lights flickering in Nagar Panchayat residential area,Electricity,Low
Divider damaged on Hospital Road main street,Road,Medium
Computer lab non-functional in Mohalla 7 school,Education,Medium
Divider damaged on NH-8 main street,Road,High
Gambling den operating in Town Area,Safety,High
School building in bad condition in Zone 4,Education,Medium
Medical equipment not working in Block 3 hospital,Healthcare,Critical
No ASHA worker in Ward 12 area since 14 days,Healthcare,Medium
Dirty conditions in Town Area government hospital,Healthcare,Medium
Scholarship money not distributed in Ward 12,Education,High
No water pressure in building in Sector 5,Water,Medium
Suspicious activity near ATM in Block 3,Safety,Critical
No water supply for past 5 days in Block 3,Water,Critical
Government hospital lacks medicines in Village Kalan,Healthcare,High
No water pressure in building in Puram Extension,Water,High
Long queues at Sector 5 government dispensary,Healthcare,Critical
Waste collection vehicle not coming to Block 3,Sanitation,High
No ASHA worker in Block 3 area since 14 days,Healthcare,Critical
Transformer blew up near Town Area market,Electricity,Medium
Blood bank not available in Nagar Panchayat hospital,Healthcare,Critical
No doctors available at PHC in Block 3 for 3 days,Healthcare,Medium
Construction dust affecting Colony B residents,Construction,Low
Grass not trimmed in Ward 12 public garden,Parks,Low
Blood bank not available in Sector 5 hospital,Healthcare,Critical
School building in bad condition in Village Kalan,Education,High
School missing benches for students in Mohalla 7,Education,High
Unmarked speed breaker causing accidents on Old Delhi Road,Road,Critical
Women safety issues at Block 3 bus stop,Safety,Medium
Water tank overflow flooding Temple Road,Water,Critical
Leaking water pipe wasting water on Temple Road,Water,High
Sewage overflow on Hospital Road street near Village Kalan,Sanitation,Low
No doctors available at PHC in Sector 5 for 21 days,Healthcare,High
Blood bank not available in Zone 4 hospital,Healthcare,Critical
Footpath broken and dangerous for walkers near Sector 5,Road,High
Night watchman absent from Mohalla 7,Safety,Medium
No water supply for past 21 days in Puram Extension,Water,High
Open defecation area near Nagar Panchayat school,Sanitation,Critical
Ambulance service not responding in Ward 12,Healthcare,Critical
Women safety issues at Nagar Panchayat bus stop,Safety,Medium
Road cave-in near Colony B drainage line,Road,Medium
High voltage wire hanging low on NH-8,Electricity,Medium
Dead animals not removed from Station Road,Sanitation,Critical
Sewage mixing with drinking water in Ward 12,Water,High
School roof leaking during rain in Colony B,Education,Medium
Bus not stopping at Puram Extension stop,Transport,High
Park gate broken in Zone 4,Parks,Low
Illegal electrical connections spotted in Village Kalan,Electricity,Low
School missing benches for students in Nagar Panchayat,Education,Medium
Untrained teachers in Zone 4 primary school,Education,Low
Water tanker not arriving on schedule in Village Kalan,Water,Medium
Sewage smell unbearable near Town Area,Sanitation,Medium
Teachers absent regularly from Mohalla 7 school,Education,Low
Ambulance service not responding in Town Area,Healthcare,Critical
Potholes causing vehicle damage on School Lane,Road,Low
Scholarship money not distributed in Mohalla 7,Education,High
Grass not trimmed in Zone 4 public garden,Parks,Low
Road dividers removed illegally on NH-8,Transport,Medium
No ambulance available in Mohalla 7,Healthcare,Medium
Dirty conditions in Village Kalan government hospital,Healthcare,Medium
