feedback_text,sentiment,rating,category,ward
Happy with the prompt response from civic authorities,POSITIVE,5,Construction,Ward 15
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Parks,Ward 49
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Public Safety,Ward 40
Survey completed for new drainage line,NEUTRAL,3,Construction,Ward 12
Happy with the prompt response from civic authorities,POSITIVE,4,Sanitation,Ward 14
Road widening project expected to complete next month,NEUTRAL,3,Healthcare,Ward 41
Public toilets are now clean and well maintained,POSITIVE,4,Healthcare,Ward 28
Work order issued for pothole repair,NEUTRAL,3,Construction,Ward 25
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Parks,Ward 45
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Electricity,Ward 40
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Construction,Ward 39
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Healthcare,Ward 18
"Electricity outages have reduced significantly, great work",POSITIVE,5,Healthcare,Ward 12
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Healthcare,Ward 2
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Sanitation,Ward 35
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Sanitation,Ward 43
Construction of new school building underway,NEUTRAL,3,Water,Ward 23
Work order issued for pothole repair,NEUTRAL,3,Public Safety,Ward 40
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Healthcare,Ward 11
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Electricity,Ward 6
"Complained 10 times about potholes, zero response",NEGATIVE,2,Public Safety,Ward 37
"Water supply erratic, pressure very low",NEGATIVE,1,Water,Ward 35
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Education,Ward 27
Authorities not responding to any complaints,NEGATIVE,2,Roads,Ward 19
Environmental clearance received for park project,NEUTRAL,3,Public Safety,Ward 29
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Electricity,Ward 2
"Bus frequency has increased, commuting is easier",POSITIVE,4,Education,Ward 14
Authorities not responding to any complaints,NEGATIVE,1,Public Safety,Ward 7
Public toilets are now clean and well maintained,POSITIVE,4,Transport,Ward 9
Drainage cleaning drive happening next week,NEUTRAL,3,Parks,Ward 13
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Healthcare,Ward 7
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Parks,Ward 14
Authorities not responding to any complaints,NEGATIVE,2,Water,Ward 30
New traffic signals have reduced accidents in our area,POSITIVE,5,Parks,Ward 19
"The road repair was completed on time, very happy with the work",POSITIVE,4,Roads,Ward 15
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Roads,Ward 22
Public toilets are now clean and well maintained,POSITIVE,5,Sanitation,Ward 13
"Park facilities broken, children getting hurt",NEGATIVE,2,Electricity,Ward 47
Project started but no updates for 6 months,NEGATIVE,2,Education,Ward 44
Committee formed to review delayed projects,NEUTRAL,3,Public Safety,Ward 20
Environmental clearance received for park project,NEUTRAL,3,Healthcare,Ward 20
The contractor did excellent work on the drainage project,POSITIVE,5,Water,Ward 2
Environmental clearance received for park project,NEUTRAL,3,Education,Ward 24
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Sanitation,Ward 17
Electricity department working on transformer upgrade,NEUTRAL,3,Roads,Ward 39
"Water quality has improved, no more complaints from residents",POSITIVE,5,Healthcare,Ward 21
Road widening project expected to complete next month,NEUTRAL,3,Roads,Ward 33
Street light maintenance scheduled for this weekend,NEUTRAL,3,Water,Ward 33
New project for park development announced for our ward,NEUTRAL,3,Construction,Ward 1
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Construction,Ward 18
"Park facilities broken, children getting hurt",NEGATIVE,1,Roads,Ward 33
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Sanitation,Ward 21
"Garbage not collected for a week, health hazard",NEGATIVE,1,Transport,Ward 40
"The government responded quickly to our complaint, well done",POSITIVE,5,Public Safety,Ward 42
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Healthcare,Ward 50
Traffic signal upgrade project is under review,NEUTRAL,3,Transport,Ward 24
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Sanitation,Ward 29
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Construction,Ward 35
"Garbage not collected for a week, health hazard",NEGATIVE,2,Education,Ward 15
Authorities not responding to any complaints,NEGATIVE,1,Water,Ward 14
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Electricity,Ward 1
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Public Safety,Ward 19
Electricity cut for 3 days without any information,NEGATIVE,2,Construction,Ward 36
Construction of new school building underway,NEUTRAL,3,Public Safety,Ward 38
New traffic signals have reduced accidents in our area,POSITIVE,4,Water,Ward 22
The sanitation team is doing a commendable job,POSITIVE,5,Healthcare,Ward 8
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Parks,Ward 43
Project started but no updates for 6 months,NEGATIVE,2,Public Safety,Ward 49
"Complaint registered, under review by department",NEUTRAL,3,Sanitation,Ward 18
New school building construction is progressing well,POSITIVE,5,Education,Ward 7
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Construction,Ward 40
Drainage cleaning drive happening next week,NEUTRAL,3,Construction,Ward 38
"The government responded quickly to our complaint, well done",POSITIVE,4,Sanitation,Ward 35
The bridge repair was done with high quality materials,POSITIVE,5,Roads,Ward 2
New bus route announcement expected soon,NEUTRAL,3,Education,Ward 6
Project completion date extended by two months,NEUTRAL,3,Transport,Ward 25
"Complaint registered, under review by department",NEUTRAL,3,Sanitation,Ward 40
"Electricity outages have reduced significantly, great work",POSITIVE,4,Public Safety,Ward 44
Construction of new school building underway,NEUTRAL,3,Roads,Ward 39
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Public Safety,Ward 37
"Complaint registered, under review by department",NEUTRAL,3,Electricity,Ward 42
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Construction,Ward 35
"Complaint registered, under review by department",NEUTRAL,3,Sanitation,Ward 32
Electricity department working on transformer upgrade,NEUTRAL,3,Parks,Ward 7
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Transport,Ward 1
Construction of new school building underway,NEUTRAL,3,Transport,Ward 24
Committee formed to review delayed projects,NEUTRAL,3,Healthcare,Ward 42
The construction work was neat and professional,POSITIVE,5,Education,Ward 40
The bridge repair was done with high quality materials,POSITIVE,4,Public Safety,Ward 2
"Water supply erratic, pressure very low",NEGATIVE,1,Public Safety,Ward 25
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Transport,Ward 34
New hospital wing is a great addition to our area,POSITIVE,5,Water,Ward 17
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Sanitation,Ward 27
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Public Safety,Ward 37
Solar street lights are a wonderful initiative,POSITIVE,4,Roads,Ward 26
Road widening project expected to complete next month,NEUTRAL,3,Parks,Ward 19
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Electricity,Ward 9
The contractor did excellent work on the drainage project,POSITIVE,4,Parks,Ward 33
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Electricity,Ward 18
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Public Safety,Ward 4
The bridge repair was done with high quality materials,POSITIVE,4,Water,Ward 3
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Transport,Ward 8
"Water supply erratic, pressure very low",NEGATIVE,2,Electricity,Ward 46
New project for park development announced for our ward,NEUTRAL,3,Electricity,Ward 12
Work order issued for pothole repair,NEUTRAL,3,Construction,Ward 45
"Park facilities broken, children getting hurt",NEGATIVE,2,Education,Ward 36
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Water,Ward 3
"Bus frequency has increased, commuting is easier",POSITIVE,5,Electricity,Ward 27
Water pipeline replacement work in progress,NEUTRAL,3,Education,Ward 22
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Sanitation,Ward 45
Environmental clearance received for park project,NEUTRAL,3,Education,Ward 43
Public toilets are now clean and well maintained,POSITIVE,5,Electricity,Ward 42
Project completion date extended by two months,NEUTRAL,3,Education,Ward 43
New hospital wing is a great addition to our area,POSITIVE,4,Transport,Ward 16
Electricity cut for 3 days without any information,NEGATIVE,1,Education,Ward 4
Authorities not responding to any complaints,NEGATIVE,2,Transport,Ward 45
Electricity cut for 3 days without any information,NEGATIVE,2,Healthcare,Ward 41
Hospital renovation work started last month,NEUTRAL,3,Construction,Ward 47
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Healthcare,Ward 8
Project started but no updates for 6 months,NEGATIVE,1,Education,Ward 26
Project completion date extended by two months,NEUTRAL,3,Water,Ward 43
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Water,Ward 10
Construction of new school building underway,NEUTRAL,3,Electricity,Ward 47
The construction work was neat and professional,POSITIVE,4,Public Safety,Ward 9
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Electricity,Ward 7
The construction work was neat and professional,POSITIVE,4,Sanitation,Ward 9
New bus route announcement expected soon,NEUTRAL,3,Public Safety,Ward 25
Happy with the prompt response from civic authorities,POSITIVE,5,Water,Ward 49
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Healthcare,Ward 26
Environmental clearance received for park project,NEUTRAL,3,Electricity,Ward 36
"Park facilities broken, children getting hurt",NEGATIVE,1,Transport,Ward 11
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Healthcare,Ward 24
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Electricity,Ward 9
"Water quality has improved, no more complaints from residents",POSITIVE,4,Transport,Ward 9
The sanitation team is doing a commendable job,POSITIVE,4,Electricity,Ward 33
"The government responded quickly to our complaint, well done",POSITIVE,5,Construction,Ward 32
Electricity department working on transformer upgrade,NEUTRAL,3,Water,Ward 24
Road dug up for pipeline but not restored for months,NEGATIVE,2,Education,Ward 50
The sanitation team is doing a commendable job,POSITIVE,4,Education,Ward 46
New project for park development announced for our ward,NEUTRAL,3,Education,Ward 46
"The government responded quickly to our complaint, well done",POSITIVE,4,Education,Ward 42
Road widening project expected to complete next month,NEUTRAL,3,Education,Ward 37
Authorities not responding to any complaints,NEGATIVE,1,Transport,Ward 47
Road repair work is ongoing in our sector,NEUTRAL,3,Parks,Ward 44
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Sanitation,Ward 27
Road marking work will start after monsoon,NEUTRAL,3,Public Safety,Ward 35
"Construction noise at midnight, residents suffering",NEGATIVE,2,Education,Ward 30
"Water quality has improved, no more complaints from residents",POSITIVE,4,Sanitation,Ward 48
The sanitation team is doing a commendable job,POSITIVE,4,Construction,Ward 8
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Sanitation,Ward 45
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Construction,Ward 40
Authorities not responding to any complaints,NEGATIVE,1,Parks,Ward 4
Electricity cut for 3 days without any information,NEGATIVE,1,Water,Ward 11
Solar street lights are a wonderful initiative,POSITIVE,5,Transport,Ward 14
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Sanitation,Ward 31
"The road repair was completed on time, very happy with the work",POSITIVE,5,Transport,Ward 44
Electricity department working on transformer upgrade,NEUTRAL,3,Transport,Ward 31
"The road repair was completed on time, very happy with the work",POSITIVE,5,Parks,Ward 18
Road widening project completed ahead of schedule,POSITIVE,5,Education,Ward 7
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Sanitation,Ward 12
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Parks,Ward 1
New project for park development announced for our ward,NEUTRAL,3,Transport,Ward 17
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Roads,Ward 10
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Parks,Ward 12
Garbage collection timings have been changed to morning,NEUTRAL,3,Electricity,Ward 6
Traffic signal upgrade project is under review,NEUTRAL,3,Transport,Ward 31
Drainage cleaning drive happening next week,NEUTRAL,3,Construction,Ward 2
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Electricity,Ward 10
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Construction,Ward 49
Road dug up for pipeline but not restored for months,NEGATIVE,1,Education,Ward 27
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Healthcare,Ward 17
"Park facilities broken, children getting hurt",NEGATIVE,2,Electricity,Ward 30
Survey completed for new drainage line,NEUTRAL,3,Roads,Ward 23
"Bus frequency has increased, commuting is easier",POSITIVE,4,Water,Ward 41
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Parks,Ward 29
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Healthcare,Ward 32
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Sanitation,Ward 13
New school building construction is progressing well,POSITIVE,4,Public Safety,Ward 13
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Sanitation,Ward 26
"Water supply erratic, pressure very low",NEGATIVE,2,Sanitation,Ward 27
Survey completed for new drainage line,NEUTRAL,3,Healthcare,Ward 6
Road widening project completed ahead of schedule,POSITIVE,4,Healthcare,Ward 17
The contractor did excellent work on the drainage project,POSITIVE,4,Healthcare,Ward 43
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Water,Ward 23
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Electricity,Ward 50
Solar street lights are a wonderful initiative,POSITIVE,5,Roads,Ward 27
Construction of new school building underway,NEUTRAL,3,Construction,Ward 17
New traffic signals have reduced accidents in our area,POSITIVE,4,Sanitation,Ward 28
Road marking work will start after monsoon,NEUTRAL,3,Construction,Ward 40
"Contractor used substandard materials, work failing",NEGATIVE,1,Transport,Ward 33
"Water supply erratic, pressure very low",NEGATIVE,2,Construction,Ward 10
The bridge repair was done with high quality materials,POSITIVE,5,Water,Ward 16
"Road marking done properly, reduces accidents at night",POSITIVE,4,Transport,Ward 3
The sanitation team is doing a commendable job,POSITIVE,4,Construction,Ward 13
"Park renovation looks beautiful, children love it",POSITIVE,5,Water,Ward 6
Committee formed to review delayed projects,NEUTRAL,3,Sanitation,Ward 29
Project completion date extended by two months,NEUTRAL,3,Education,Ward 4
"Road marking done properly, reduces accidents at night",POSITIVE,4,Education,Ward 18
Drainage cleaning drive happening next week,NEUTRAL,3,Electricity,Ward 15
"Road marking done properly, reduces accidents at night",POSITIVE,4,Water,Ward 18
Public toilets are now clean and well maintained,POSITIVE,4,Transport,Ward 24
"Park facilities broken, children getting hurt",NEGATIVE,2,Sanitation,Ward 12
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Roads,Ward 33
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Electricity,Ward 36
Authorities not responding to any complaints,NEGATIVE,2,Public Safety,Ward 22
Happy with the prompt response from civic authorities,POSITIVE,4,Parks,Ward 6
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Transport,Ward 16
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Construction,Ward 21
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Transport,Ward 28
"Garbage not collected for a week, health hazard",NEGATIVE,2,Transport,Ward 31
Drainage cleaning drive happening next week,NEUTRAL,3,Parks,Ward 2
"Contractor used substandard materials, work failing",NEGATIVE,1,Transport,Ward 11
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Construction,Ward 10
"Park renovation looks beautiful, children love it",POSITIVE,5,Transport,Ward 40
Project started but no updates for 6 months,NEGATIVE,2,Construction,Ward 4
New contractor assigned for road repair work,NEUTRAL,3,Parks,Ward 22
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Transport,Ward 50
Survey completed for new drainage line,NEUTRAL,3,Sanitation,Ward 17
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Parks,Ward 50
Road repair work is ongoing in our sector,NEUTRAL,3,Education,Ward 22
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Public Safety,Ward 39
Road marking work will start after monsoon,NEUTRAL,3,Parks,Ward 31
Solar street lights are a wonderful initiative,POSITIVE,4,Roads,Ward 49
"Complaint registered, under review by department",NEUTRAL,3,Transport,Ward 22
Bridge inspection scheduled for next week,NEUTRAL,3,Water,Ward 22
New bus route announcement expected soon,NEUTRAL,3,Electricity,Ward 20
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Public Safety,Ward 27
The bridge repair was done with high quality materials,POSITIVE,4,Construction,Ward 39
"Construction noise at midnight, residents suffering",NEGATIVE,2,Parks,Ward 39
"Water quality has improved, no more complaints from residents",POSITIVE,5,Sanitation,Ward 24
"Bus frequency has increased, commuting is easier",POSITIVE,4,Healthcare,Ward 37
The sanitation team is doing a commendable job,POSITIVE,5,Electricity,Ward 25
Survey completed for new drainage line,NEUTRAL,3,Water,Ward 7
"Bus frequency has increased, commuting is easier",POSITIVE,4,Parks,Ward 36
Electricity cut for 3 days without any information,NEGATIVE,2,Public Safety,Ward 35
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Education,Ward 10
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Construction,Ward 42
New project for park development announced for our ward,NEUTRAL,3,Transport,Ward 10
Work order issued for pothole repair,NEUTRAL,3,Electricity,Ward 27
Solar street lights are a wonderful initiative,POSITIVE,5,Education,Ward 10
Road repair work is ongoing in our sector,NEUTRAL,3,Transport,Ward 46
Traffic signal upgrade project is under review,NEUTRAL,3,Parks,Ward 17
Street light maintenance scheduled for this weekend,NEUTRAL,3,Healthcare,Ward 46
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Healthcare,Ward 35
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Electricity,Ward 32
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Roads,Ward 17
Great improvement in garbage collection frequency,POSITIVE,5,Electricity,Ward 8
Work order issued for pothole repair,NEUTRAL,3,Transport,Ward 32
"Park facilities broken, children getting hurt",NEGATIVE,1,Water,Ward 5
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Education,Ward 30
New contractor assigned for road repair work,NEUTRAL,3,Water,Ward 32
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Education,Ward 11
New school building construction is progressing well,POSITIVE,5,Construction,Ward 3
The contractor did excellent work on the drainage project,POSITIVE,4,Water,Ward 50
"Complained 10 times about potholes, zero response",NEGATIVE,1,Transport,Ward 49
New bus route announcement expected soon,NEUTRAL,3,Electricity,Ward 17
Project started but no updates for 6 months,NEGATIVE,1,Sanitation,Ward 28
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Healthcare,Ward 30
Public toilet construction tender has been floated,NEUTRAL,3,Water,Ward 40
New hospital wing is a great addition to our area,POSITIVE,5,Construction,Ward 20
"Water quality has improved, no more complaints from residents",POSITIVE,5,Transport,Ward 3
Drainage cleaning drive happening next week,NEUTRAL,3,Parks,Ward 2
"Complained 10 times about potholes, zero response",NEGATIVE,1,Water,Ward 44
"Bus frequency has increased, commuting is easier",POSITIVE,5,Education,Ward 35
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Healthcare,Ward 47
Electricity department working on transformer upgrade,NEUTRAL,3,Education,Ward 11
Hospital renovation work started last month,NEUTRAL,3,Healthcare,Ward 33
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Construction,Ward 32
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Electricity,Ward 14
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Transport,Ward 44
Great improvement in garbage collection frequency,POSITIVE,5,Public Safety,Ward 49
Garbage collection timings have been changed to morning,NEUTRAL,3,Construction,Ward 31
New school building construction is progressing well,POSITIVE,4,Sanitation,Ward 9
"Water quality has improved, no more complaints from residents",POSITIVE,5,Electricity,Ward 4
Power outage scheduled for maintenance work,NEUTRAL,3,Healthcare,Ward 7
Road widening project completed ahead of schedule,POSITIVE,5,Electricity,Ward 23
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Electricity,Ward 35
Construction of new school building underway,NEUTRAL,3,Water,Ward 22
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Public Safety,Ward 10
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Education,Ward 24
"Electricity outages have reduced significantly, great work",POSITIVE,4,Construction,Ward 32
The sanitation team is doing a commendable job,POSITIVE,5,Electricity,Ward 16
Electricity department working on transformer upgrade,NEUTRAL,3,Roads,Ward 18
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Parks,Ward 36
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Healthcare,Ward 24
Garbage collection timings have been changed to morning,NEUTRAL,3,Education,Ward 48
"Contractor used substandard materials, work failing",NEGATIVE,1,Education,Ward 19
"Park renovation looks beautiful, children love it",POSITIVE,5,Public Safety,Ward 8
The bridge repair was done with high quality materials,POSITIVE,5,Public Safety,Ward 6
The bridge repair was done with high quality materials,POSITIVE,4,Electricity,Ward 21
Road repair work is ongoing in our sector,NEUTRAL,3,Water,Ward 6
"Water quality has improved, no more complaints from residents",POSITIVE,5,Sanitation,Ward 8
Survey completed for new drainage line,NEUTRAL,3,Transport,Ward 31
Environmental clearance received for park project,NEUTRAL,3,Water,Ward 23
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 38
The sanitation team is doing a commendable job,POSITIVE,4,Sanitation,Ward 43
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Education,Ward 44
"Contractor used substandard materials, work failing",NEGATIVE,1,Construction,Ward 11
New traffic signals have reduced accidents in our area,POSITIVE,5,Water,Ward 33
"Park facilities broken, children getting hurt",NEGATIVE,1,Water,Ward 50
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Transport,Ward 29
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Parks,Ward 44
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Public Safety,Ward 5
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Roads,Ward 25
Electricity department working on transformer upgrade,NEUTRAL,3,Education,Ward 41
Project started but no updates for 6 months,NEGATIVE,2,Parks,Ward 26
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Healthcare,Ward 47
Authorities not responding to any complaints,NEGATIVE,1,Electricity,Ward 12
New contractor assigned for road repair work,NEUTRAL,3,Healthcare,Ward 30
Public toilet construction tender has been floated,NEUTRAL,3,Transport,Ward 15
New contractor assigned for road repair work,NEUTRAL,3,Transport,Ward 42
Road widening project expected to complete next month,NEUTRAL,3,Electricity,Ward 4
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Electricity,Ward 38
Environmental clearance received for park project,NEUTRAL,3,Construction,Ward 19
"The government responded quickly to our complaint, well done",POSITIVE,4,Healthcare,Ward 8
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Transport,Ward 48
The bridge repair was done with high quality materials,POSITIVE,5,Public Safety,Ward 33
Garbage collection timings have been changed to morning,NEUTRAL,3,Roads,Ward 29
New school building construction is progressing well,POSITIVE,4,Healthcare,Ward 43
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Parks,Ward 41
The construction work was neat and professional,POSITIVE,4,Education,Ward 22
Bridge inspection scheduled for next week,NEUTRAL,3,Healthcare,Ward 19
"Bus frequency has increased, commuting is easier",POSITIVE,5,Construction,Ward 26
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Electricity,Ward 21
New traffic signals have reduced accidents in our area,POSITIVE,4,Water,Ward 34
New project for park development announced for our ward,NEUTRAL,3,Roads,Ward 38
Construction of new school building underway,NEUTRAL,3,Parks,Ward 17
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Public Safety,Ward 3
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Construction,Ward 7
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Education,Ward 26
New hospital wing is a great addition to our area,POSITIVE,5,Healthcare,Ward 22
The bridge repair was done with high quality materials,POSITIVE,4,Electricity,Ward 2
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Healthcare,Ward 26
Committee formed to review delayed projects,NEUTRAL,3,Parks,Ward 5
Solar street lights are a wonderful initiative,POSITIVE,4,Construction,Ward 39
Water pipeline replacement work in progress,NEUTRAL,3,Water,Ward 38
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Public Safety,Ward 9
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Water,Ward 2
New project for park development announced for our ward,NEUTRAL,3,Water,Ward 35
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Construction,Ward 47
"Complained 10 times about potholes, zero response",NEGATIVE,1,Public Safety,Ward 44
"The road repair was completed on time, very happy with the work",POSITIVE,4,Electricity,Ward 37
Work order issued for pothole repair,NEUTRAL,3,Parks,Ward 23
"Park facilities broken, children getting hurt",NEGATIVE,1,Construction,Ward 47
Traffic signal upgrade project is under review,NEUTRAL,3,Sanitation,Ward 18
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Education,Ward 21
The sanitation team is doing a commendable job,POSITIVE,4,Construction,Ward 21
New school building construction is progressing well,POSITIVE,4,Sanitation,Ward 41
The sanitation team is doing a commendable job,POSITIVE,5,Parks,Ward 3
Bridge inspection scheduled for next week,NEUTRAL,3,Public Safety,Ward 26
"Park facilities broken, children getting hurt",NEGATIVE,2,Parks,Ward 28
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Construction,Ward 26
"Water quality has improved, no more complaints from residents",POSITIVE,5,Electricity,Ward 50
"Complained 10 times about potholes, zero response",NEGATIVE,2,Transport,Ward 31
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Electricity,Ward 18
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Sanitation,Ward 40
Hospital renovation work started last month,NEUTRAL,3,Transport,Ward 47
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Roads,Ward 50
Road marking work will start after monsoon,NEUTRAL,3,Education,Ward 1
Great improvement in garbage collection frequency,POSITIVE,5,Sanitation,Ward 15
New project for park development announced for our ward,NEUTRAL,3,Parks,Ward 38
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Sanitation,Ward 40
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Electricity,Ward 15
Solar street lights are a wonderful initiative,POSITIVE,5,Healthcare,Ward 12
"Electricity outages have reduced significantly, great work",POSITIVE,4,Parks,Ward 43
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Water,Ward 19
Road widening project expected to complete next month,NEUTRAL,3,Public Safety,Ward 2
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Electricity,Ward 24
New school building construction is progressing well,POSITIVE,5,Construction,Ward 44
Road widening project completed ahead of schedule,POSITIVE,5,Electricity,Ward 29
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Education,Ward 6
New school building construction is progressing well,POSITIVE,5,Water,Ward 45
"Garbage not collected for a week, health hazard",NEGATIVE,1,Education,Ward 14
Public toilet construction tender has been floated,NEUTRAL,3,Sanitation,Ward 38
Electricity cut for 3 days without any information,NEGATIVE,2,Public Safety,Ward 36
Traffic signal upgrade project is under review,NEUTRAL,3,Healthcare,Ward 8
"Water supply erratic, pressure very low",NEGATIVE,2,Water,Ward 24
Solar street lights are a wonderful initiative,POSITIVE,5,Healthcare,Ward 38
"Road marking done properly, reduces accidents at night",POSITIVE,5,Public Safety,Ward 38
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Sanitation,Ward 5
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Healthcare,Ward 7
Great improvement in garbage collection frequency,POSITIVE,4,Construction,Ward 14
Project started but no updates for 6 months,NEGATIVE,1,Roads,Ward 44
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Water,Ward 31
Bridge inspection scheduled for next week,NEUTRAL,3,Sanitation,Ward 33
Electricity cut for 3 days without any information,NEGATIVE,1,Public Safety,Ward 10
